YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2020,SEGOVIA,102,0,0.0,1,995.0,995.0,SFMVDM,1.0,N,Y,Y
2020,SEGOVIA,"207, 211",0,0.0,1,1010.0,1010.0,SFMVDM,1.0,N,Y,Y
2020,SEGOVIA,101,APT,1.0,1,1400.0,1400.0,SFMVDM,2.0,N,Y,Y
2020,SEVILLE,"3, 4",APT,2.0,2,2860.0,2860.0,SFMVDM,4.0,N,N,Y
2020,SEVILLE,5,APT,2.0,2,2860.0,2860.0,SFMVDM,4.0,N,N,Y
2020,SEVILLE,"1, 2",APT,3.0,2,4200.0,4200.0,SFMVDM,6.0,N,N,Y
2020,TRIGO,1-6,APT,1.0,1,1350.0,1350.0,SFMVDM,2.0,N,N,Y
2020,TRIGO,"1, 2",APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,"3, 4",APT,2.0,2,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,5-8,0,0.0,1,1350.0,1350.0,SFMVDM,1.0,N,N,Y
2020,TRIGO,"8, 9",0,0.0,1,995.0,995.0,SFMVDM,1.0,N,N,Y
2020,TRIGO,4/5,APT,1.0,1,1700.0,1700.0,SFMVDM,3.0,N,N,Y
2020,TRIGO,6/7,APT,2.0,1,2050.0,2050.0,SFMVDM,3.0,N,N,Y
2020,TRIGO,"A, B",APT,2.0,2,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,A,APT,2.0,2,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,B,APT,2.0,2,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,B,APT,2.0,1,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2020,TRIGO,A,APT,4.0,2,4700.0,4700.0,SFMVDM,6.0,N,N,Y
2020,TRIGO,--,HOUSE,3.0,2,4100.0,4100.0,SFMVDM,6.0,N,,
2021,DEL PLAYA,C,0,0.0,1,1700.0,1700.0,SFMVDM,2.0,N,N,Y
2021,DEL PLAYA,A,APT,3.0,2,4800.0,4800.0,SFMVDM,6.0,N,N,Y
2021,DEL PLAYA,B,APT,3.0,2,4800.0,4800.0,SFMVDM,6.0,N,N,Y
2021,DEL PLAYA,A,APT,2.0,1,3400.0,3400.0,SFMVDM,4.0,N,N,Y
